,Team,Wins
0,Los Angeles Lakers,17
1,Boston Celtics,17
2,Golden State Warriors,7
3,Chicago Bulls,6
4,San Antonio Spurs,5
5,Philadelphia 76ers,3
6,Detroit Pistons,3
7,Miami Heat,3
8,New York Knicks,2
9,Houston Rockets,2
10,Milwaukee Bucks,2
11,Cleveland Cavaliers,1
12,Atlanta Hawks,1
13,Washington Wizards,1
14,Oklahoma City Thunder,1
15,Portland Trail Blazers,1
16,Dallas Mavericks,1
17,Baltimore Bullets,1
18,Sacramento Kings,1
19,Toronto Raptors,1
20,Denver Nuggets,1
21,Phoenix Suns,0
22,Utah Jazz,0
23,Brooklyn Nets,0
24,Orlando Magic,0
25,Chicago Stags,0
26,Washington Capitols,0
27,Indiana Pacers,0
28,Charlotte Hornets,0
29,Los Angeles Clippers,0
30,Memphis Grizzlies,0
31,Minnesota Timberwolves,0
32,New Orleans Pelicans,0
